,winner,method,weightclass,red_slpm,red_str_acc,red_sapm,red_str_def,red_td_avg,red_td_acc,red_td_def,red_sub_avg,blue_slpm,blue_str_acc,blue_sapm,blue_str_def,blue_td_avg,blue_td_acc,blue_td_def,blue_sub_avg,red_fighter_elo,blue_fighter_elo
115,0,5,2,3.84,0.37,4.15,0.51,2.17,0.44,0.7,0.2,3.86,0.49,2.72,0.52,1.95,0.34,0.54,1.2,1518.96435449738,1549.6497805175252
116,1,1,7,5.29,0.54,3.84,0.49,0.75,0.33,0.82,0.0,3.22,0.6,3.33,0.47,3.33,0.2,0.66,1.7,1530.5157132693885,1484.7002744763988
117,1,1,0,2.98,0.43,3.87,0.61,5.17,0.44,0.75,0.3,5.41,0.53,2.96,0.61,1.62,0.4,0.83,0.2,1549.950052585519,1515.2893793039632
118,0,1,1,2.73,0.56,3.54,0.48,0.0,0.0,0.57,0.0,4.08,0.63,2.66,0.51,1.77,0.25,1.0,1.8,1469.4361487849112,1515.2974063533725
119,1,1,7,2.75,0.44,3.78,0.5,0.6,1.0,0.0,0.0,0.9,0.38,3.6,0.52,0.0,0.0,0.0,0.0,1547.2283440026106,1485.502885328775
120,1,1,5,3.32,0.42,4.11,0.5,0.37,0.66,0.71,0.2,3.28,0.43,14.43,0.42,0.0,0.0,0.0,0.0,1519.8655279162963,1469.5696574457345
121,1,1,7,4.6,0.5,4.49,0.56,0.46,0.44,0.64,0.0,5.6,0.53,4.95,0.51,2.31,0.38,0.88,0.3,1559.6701275228363,1555.239001304302
122,0,6,2,4.6,0.38,6.62,0.53,0.36,0.29,0.77,0.1,3.07,0.5,1.8,0.66,2.09,0.3,0.59,1.3,1517.0001397858318,1548.9881160930695
123,1,1,7,3.78,0.5,3.85,0.47,1.97,0.38,0.65,0.5,1.06,0.38,1.8,0.42,1.93,0.38,0.76,0.4,1526.7103002423,1457.0462530447223
124,0,1,6,5.73,0.55,3.1,0.7,0.96,0.33,0.76,0.0,4.7,0.46,5.66,0.47,1.54,0.62,0.75,0.3,1504.6323792851622,1546.648223892297
125,0,6,7,3.33,0.55,4.4,0.49,3.52,0.26,1.0,1.2,2.89,0.5,2.65,0.5,3.38,0.54,0.85,1.5,1528.908295975505,1581.044228521309
126,0,1,2,5.08,0.43,6.25,0.56,3.46,0.55,0.5,0.7,6.5,0.46,3.52,0.56,4.8,0.75,0.66,0.0,1467.4244386185262,1515.2005159648172
127,1,4,12,5.47,0.5,4.92,0.61,0.81,0.32,0.75,0.1,4.92,0.59,4.46,0.51,0.43,0.25,0.64,0.4,1502.2134381928113,1500.406482234225
128,1,6,3,2.06,0.57,2.94,0.45,6.41,0.35,0.6,0.4,1.73,0.45,1.1,0.59,1.83,0.35,0.4,1.8,1532.7326332519551,1514.4886579544586
