fighter_name,elo,fights,wins,win_ratio
Jin Soo Son,1445.4342515608005,2,0,0.0
Vinny Magalhaes,1491.5352848743437,3,1,0.3333333333333333
Zac Pauga,1421.2591033747751,4,1,0.25
Adlan Amagov,1571.6020805842277,2,2,1.0
Rafa Garcia,1543.925824485528,9,5,0.5555555555555556
Yushin Okami,1516.359823405226,12,7,0.5833333333333334
Grigorii Popov,1439.4036003127908,2,0,0.0
Diego Nunes,1502.704797672838,6,3,0.5
Michel Pereira,1620.6772982480004,13,9,0.6923076923076923
Joshua Culibao,1470.7542013843197,1,0,0.0
Andre Ewell,1466.6450562445566,9,4,0.4444444444444444
Impa Kasanganay,1493.657637342425,4,2,0.5
Dricus Du Plessis,1785.992117761884,9,9,1.0
Joe Brammer,1471.2,1,0,0.0
Rafael Alves,1463.585856537201,4,1,0.25
Cameron Smotherman,1500.8855647249643,2,1,0.5
Dominic Waters,1424.7525564092052,3,0,0.0
Dongi Yang,1509.1061019660656,5,2,0.4
Calvin Kattar,1585.5045261566574,14,7,0.5
Julio Paulino,1442.7623365372997,2,0,0.0
Oli Thompson,1426.6519919082148,2,0,0.0
Kenny Robertson,1518.7064158082383,9,4,0.4444444444444444
Louis Cosce,1437.2771906693786,2,0,0.0
Westin Wilson,1478.8305730963998,3,1,0.3333333333333333
Marcos Mariano,1433.7243813338468,2,0,0.0
Patrick Cote,1513.8942737024488,12,6,0.5
Clay Guida,1495.3069568723474,27,13,0.48148148148148145
Terrance McKinney,1534.8810633518453,10,6,0.6
John Maguire,1468.0540048967214,5,2,0.4
Rob Broughton,1483.7160006368506,3,1,0.3333333333333333
Alan Baudot,1375.6302138045187,4,0,0.0
Nyamjargal Tumendemberel,1474.7195271432927,1,0,0.0
John Teixeira,1477.6,1,0,0.0
Chase Gormley,1465.8269273965593,1,0,0.0
Shamar Bailey,1457.0808554942646,3,1,0.3333333333333333
Tom DeBlass,1444.5882348849775,2,0,0.0
Austin Vanderford,1527.1513550499335,1,1,1.0
Kai Kara-France,1610.19837610352,10,7,0.7
John Phillips,1399.7912501412181,6,1,0.16666666666666666
Cheick Kongo,1551.781408676064,6,4,0.6666666666666666
Chepe Mariscal,1637.5587263368627,5,5,1.0
Juliana Miller,1502.2009467145472,4,2,0.5
Claude Patrick,1568.9329132260984,4,3,0.75
Jared Papazian,1409.3666325326203,3,0,0.0
Nadia Kassem,1452.4106805450078,3,1,0.3333333333333333
Sean Brady,1718.2763476848484,9,8,0.8888888888888888
Joe Lauzon,1515.471604219027,20,10,0.5
CB Dollaway,1490.519426933447,14,7,0.5
Darian Weeks,1431.7327063366406,3,0,0.0
Antonio McKee,1480.7603237733163,1,0,0.0
Court McGee,1489.1029187954057,23,11,0.4782608695652174
Richie Vaculik,1427.1576208042527,4,1,0.25
Chris Wade,1578.8983269946502,7,5,0.7142857142857143
Bentley Syler,1461.6,1,0,0.0
William Knight,1459.251978899011,7,3,0.42857142857142855
Chael Sonnen,1509.8583485364911,7,3,0.42857142857142855
